onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
3088.179	8.172	correct	learning	LS3	PICTURE_21.jpg	i	correct rejection
3096.351	7.539	correct	learning	LS3	PICTURE_405.jpg	c	hit
3103.890	7.707	correct	learning	LS3	PICTURE_462.jpg	c	hit
3111.597	7.716	correct	learning	LS3	PICTURE_405.jpg	i	correct rejection
3119.313	8.520	correct	learning	LS3	PICTURE_462.jpg	i	correct rejection
3127.833	8.524	correct	learning	LS3	PICTURE_400.jpg	c	hit
3136.357	8.689	correct	learning	LS3	PICTURE_402.jpg	i	correct rejection
3145.046	10.774	correct	learning	LS3	PICTURE_21.jpg	c	hit
3155.820	8.410	correct	learning	LS4	PICTURE_400.jpg	c	hit
3164.230	7.781	correct	learning	LS4	PICTURE_405.jpg	i	correct rejection
3172.011	10.665	correct	learning	LS4	PICTURE_402.jpg	i	correct rejection
3182.676	7.313	correct	learning	LS4	PICTURE_21.jpg	i	correct rejection
3189.989	8.919	correct	learning	LS4	PICTURE_462.jpg	i	correct rejection
3198.908	8.129	correct	learning	LS4	PICTURE_400.jpg	i	correct rejection
3207.037	9.094	correct	learning	LS4	PICTURE_462.jpg	c	hit
3216.131	7.822	correct	learning	LS4	PICTURE_21.jpg	c	hit
3223.953	7.668	correct	learning	LS4	PICTURE_402.jpg	c	hit
3231.621	8.152	correct	learning	LS4	PICTURE_405.jpg	c	hit
