onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
4984.142	1.067	incorrect	learning	LS1	h84_p47_i_down_right.jpg	98
5030.969	1.31	correct	learning	LS1	h88_p2_i_down_right.jpg	97
5077.796	0.801	correct	learning	LS1	h75_p37_k_down_q1_left.jpg	98
5124.624	1.364	incorrect	learning	LS1	h56_p49_i_up_left.jpg	98
5216.612	0.626	correct	learning	LS2	h56_p13_k_up_q2_right.jpg	98
5263.439	0.774	correct	learning	LS2	h51_p24_k_up_q3_right.jpg	98
5310.267	1.641	correct	learning	LS2	h84_p34_i_down_left.jpg	97
5357.094	1.004	correct	learning	LS2	h51_p13_i_up_right.jpg	97
5404.255	0.91	correct	learning	LS2	h88_p16_i_down_right.jpg	97
5451.582	0.768	correct	learning	LS2	h75_p37_k_down_q1_left.jpg	98
5498.909	1.025	correct	learning	LS2	h56_p2_i_up_left.jpg	97
5546.236	0.723	correct	learning	LS2	h88_p35_k_down_q1_left.jpg	98
5593.397	0.885	correct	learning	LS2	h75_p13_i_down_left.jpg	97
